index,type,a1,a2,a3,a4,a5,a6,a7,a8,mod_factor,a1_mod,a2_mod,a3_mod,a4_mod,a5_mod,a6_mod,a7_mod,a8_mod,norm_orig,norm_mod,proj_x,proj_y,dot_u
37,integer,0.00000000,-1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
38,integer,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
39,integer,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
40,integer,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
41,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
42,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
43,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
44,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
45,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
46,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
47,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
48,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
49,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.88787897,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
50,integer,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
51,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
52,integer,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
